query,CID,MolecularFormula,MolecularWeight,InChIKey,IUPACName
tungsten,23964,W,183.84,WFKWXMTUELFFGS-UHFFFAOYSA-N,tungsten
lithium,3028194,Li,7.0,WHXSMMKQMYFTQS-UHFFFAOYSA-N,lithium
