wavelength_um,radiance_normalized
0.3000000000000001,0.00019670853356084904
0.30531818503049796,0.0002579656109061283
0.3107306470343918,0.0003361901299170381
0.3162390572863092,0.0004354516430924911
0.3218451166880392,0.0005606259727655494
0.3275505562937364,0.0007175141432119284
0.33335713784444504,0.000912970112637316
0.3392666543120922,0.0011550361755270145
0.34528093045312436,0.0014530844826552676
0.3514018233719657,0.0018179626765356131
0.35763122309445383,0.002262141175657069
0.3639710531514531,0.0027998591751414834
0.3704232711728017,0.0034472659800523276
0.3769898694917992,0.004222553867610123
0.38367287576040204,0.005146078304130169
0.3904743535753255,0.006240461040096913
0.3973964031152517,0.007530671390578667
0.40444116178932243,0.009044080895231989
0.4116108048971396,0.010810486557664045
0.41890754630045757,0.012862098000466251
0.4263336391067831,0.015233484149072468
0.4338913763651019,0.017961475480005432
0.44158309177392524,0.021085018437896653
0.449411160401903,0.02464497933697707
0.45737799942119656,0.028683895907578253
0.46548606885386606,0.0332456756127599
0.4737378723314801,0.038375240925822784
0.4821359578681907,0.044118122903324744
0.4906829186475229,0.05052000558359122
0.49938139382309704,0.057626224957941
0.5082340693335609,0.06548122746926568
0.5172436787319578,0.07412799415723022
0.5264130040297975,0.08360743765843091
0.5357448765561009,0.09395778025138485
0.5452421778316561,0.10521392198041771
0.5549078404587918,0.11740680857277631
0.5647448490269046,0.13056280935663178
0.5747562410340568,0.14470311567637417
0.5849451078248997,0.15984317037272594
0.5953145955452241,0.17599213874217312
0.6058679061134437,0.19315243101195306
0.6166082982092823,0.21131928576851913
0.6275390882800069,0.23048042297028246
0.6386636515644849,0.2506157741757139
0.649985423135396,0.2716972964474868
0.6615078989599322,0.29368887507793934
0.6732346369792815,0.31654631885010337
0.6851692582072678,0.34021745003425385
0.6973154478484532,0.3646422897557541
0.7096769564360617,0.38975333779089766
0.7222576009900883,0.4154759442875576
0.7350612661959175,0.4417287694000732
0.7480919056038589,0.4684243254044278
0.7613535428499223,0.49546959454865047
0.7748502728982589,0.5227667147202046
0.7885862633056094,0.5502137239977208
0.8025657555081699,0.5777053543163932
0.8167930661312841,0.6051338638268121
0.8312725883223302,0.6323898970738792
0.8460087931072602,0.6593633618691777
0.8610062307711706,0.6859443116749961
0.8762695322633459,0.7120238224559191
0.8918034106272287,0.7374948532747674
0.9076126624557109,0.7622530804005158
0.9237021693722518,0.7861976953410628
0.9400768995382334,0.8092321579941505
