element,line,wl_air_nm,A_ki_s,Ek_cm,g_i,g_k,theta_K,pop_ratio_to_ground_at_Tad,E_photon_eV,ritz_wl_vac_nm,wl_air_minus_ritz_vac_nm
Na,Na D2,588.995095,61600000.0,16973.36619,2,4,24420.88679902559,5.542142759721811e-05,2.105012409877544,589.1583253468946,-0.16323034689457927
Na,Na D1,589.592424,61400000.0,16956.17025,2,2,24396.145678175308,2.8006886171515362e-05,2.102879775694001,589.755814701141,-0.1633907011409974
K,K 766,766.489913,37790000.0,13042.896027,2,4,18765.81721276277,0.0006295203151557985,1.617558122166707,766.7008906073524,-0.2109776073524472
K,K 770,769.896456,37340000.0,12985.185724,2,2,18682.784963241706,0.00032619325928667043,1.610400950244149,770.1083536693202,-0.21189766932025123
Li,Li 670.8a,670.776,36891000.0,14904.0,2,4,21443.530574808,0.00019920624676539097,1.8483696261225844,670.9608158883522,-0.18481588835220464
Li,Li 670.8b,670.791,36890000.0,14903.66,2,2,21443.04139066982,9.96240624739298e-05,1.848328293510203,670.9761226436996,-0.1851226436995148
