T_K,sensible_enthalpy_kJ_per_mol_fuel
300.0,0.5965858907816849
334.17721518987344,11.68585347283226
368.3544303797468,22.84786237999489
402.53164556962025,34.08644228256367
436.70886075949363,45.40632667415049
470.88607594936707,56.81320508001816
505.0632911392405,68.31945270413112
539.2405063291139,79.91691900779055
573.4177215189873,91.61638857976436
607.5949367088608,103.42293504521162
641.7721518987341,115.33959159411256
675.9493670886076,127.36789409962445
710.126582278481,139.50826740011962
744.3037974683543,151.76030515658147
778.4810126582279,164.12297599146603
812.6582278481012,176.59477761121576
846.8354430379746,189.17385360762634
881.0126582278481,201.8580830726883
915.1898734177215,214.64515013375504
949.3670886075948,227.53259846911408
983.5443037974683,240.51787445737762
1017.7215189873417,253.59836163259308
1051.8987341772151,266.77140842247275
1086.0759493670885,280.0343506493343
1120.253164556962,293.3845299122281
1154.4303797468353,306.81930870381404
1188.6075949367087,320.3360829192185
1222.7848101265822,333.92840839823214
1256.9620253164558,347.60058293260704
1291.139240506329,361.3470714787435
1325.3164556962024,375.16515438147775
1359.493670886076,389.0521763395548
1393.6708860759493,403.00554380547635
1427.8481012658226,417.0227227587742
1462.0253164556962,431.10123679160483
1496.2025316455695,445.2386654567232
1530.379746835443,459.4326428368219
1564.5569620253164,473.68085630138074
1598.7341772151897,487.98104542297364
1632.9113924050632,502.331001029666
1667.0886075949365,516.7285643739724
1701.26582278481,531.1657499992781
1735.4430379746834,545.6529759909317
1769.6202531645567,560.1841874773082
1803.7974683544303,574.757735494019
1837.9746835443036,589.3721042024474
1872.1518987341772,604.0259066111852
1906.3291139240505,618.7178807577137
1940.506329113924,633.4468862935853
1974.6835443037974,648.2119014242219
2008.8607594936707,663.0124176161048
2043.0379746835442,677.8444028304777
2077.2151898734173,692.708234991961
2111.3924050632913,707.6028495261751
2145.5696202531644,722.5272381086281
2179.7468354430375,737.4804444765248
2213.9240506329115,752.4615606284967
2248.1012658227846,767.4697233709815
2282.278481012658,782.5041111749119
2316.4556962025317,797.5639413106636
2350.632911392405,812.648467232942
2384.8101265822784,827.7569761905388
2418.987341772152,842.8887870387113
2453.164556962025,858.0432482344304
2487.3417721518986,873.2197359969056
2521.518987341772,888.4176526177043
2555.696202531645,903.6364249064652
2589.8734177215188,918.8755027596774
2624.0506329113923,934.1343578413051
2658.227848101266,949.412482365196
2692.405063291139,964.7093879702211
2726.5822784810125,980.0246046800182
2760.759493670886,995.3576799400007
2794.936708860759,1010.7081777250227
2829.1139240506327,1026.0756777117217
2863.2911392405063,1041.4597745101364
2897.4683544303793,1056.8600769497084
2931.645569620253,1072.276207415223
2965.8227848101264,1087.707801228666
3000.0,1103.1545060733333
